gene	query	search_id	date	rank	paper_id	title	verdict	status
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	1	PMC2184939	Macrophage stimulation by bacterial lipopolysaccharides. II. Evidence for differentiation signals delivered by lipid A and by a protein rich fraction of lipopolysaccharides	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	2	bio_b06931d16f63	The orientation of choroidal macrophage polarization significantly influences the development of myopia in murine models	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	3	PMC2184936	Macrophage stimulation by bacterial lipopolysaccharides. I. Cytolytic effect on tumor target cells	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	4	PMC3660024	Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	5	PMC9456100	Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	6	PMC12346749	Lipopolysaccharide-Activated Macrophages Suppress Cellular Senescence and Promote Rejuvenation in Human Dermal Fibroblasts	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	7	PMC12035103	Lipopolysaccharide preconditioning augments the antibacterial activity of renal macrophages and ameliorates acute kidney injury caused by Staphylococcus aureus bacteremia in mice	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	8	PMC9656053	A Global Picture of Molecular Changes Associated to LPS Treatment in THP-1 Derived Human Macrophages by Fourier Transform Infrared Microspectroscopy	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	9	PMC10501887	LPS adsorption and inflammation alleviation by polymyxin B-modified liposomes for atherosclerosis treatment	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	10	PMC8289208	Lipopolysaccharide from biofilm-forming Pseudomonas aeruginosa PAO1 induces macrophage hyperinflammatory responses	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	11	PMC5743190	Lipopolysaccharide-induced inflammation in monocytes/macrophages is blocked by liposomal delivery of Gi-protein inhibitor	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	12	PMC11994614	Oral and transdermal administration of lipopolysaccharide safely enhances self-healing ability through the macrophage network	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	13	PMC13199726	Exosomal miR-148a-3p from LPS-Activated Macrophages Promotes M1 Polarization and Ferroptosis-Related Characteristics of Recipient Macrophages by Reducing SLC7A11	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	14	PMC1781469	Transcriptional profiling of the LPS induced NF-κB response in macrophages	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	15	PMC6543837	Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	16	PMC2949756	Motif prediction to distinguish LPS-stimulated pro-inflammatory vs. antibacterial macrophage genes	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	17	PMC7858588	Macrophages enhance lipopolysaccharide induced apoptosis via Ang1 and NF-κB pathways in human umbilical vein endothelial cells	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	18	bio_206e5a356c66	Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	19	PMC7275413	Progranulin inhibits LPS-induced macrophage M1 polarization via NF-кB and MAPK pathways	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	20	PMC5742358	Macrophage–Bacteria Interactions—A Lipid-Centric Relationship	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	21	PMC12596304	AZD6738 Attenuates LPS-Induced Corneal Inflammation and Fibrosis by Modulating Macrophage Function and Polarization	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	22	PMC12847160	Free Fatty Acids and LPS Synergistically Promote Macrophage M1 Polarization and Insulin Resistance Via FTO-Mediated CSF1 Degradation	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	23	PMC7288959	BRD4 contributes to LPS-induced macrophage senescence and promotes progression of atherosclerosis-associated lipid uptake	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	24	PMC7386301	Species-Specificity of Transcriptional Regulation and the Response to Lipopolysaccharide in Mammalian Macrophages	no	ok
Lipg	Lipg LPS macrophage	s_1f54e3a9	2026-09-24T18:05:15Z	25	PMC8426562	A host lipase prevents lipopolysaccharide-induced foam cell formation	no	ok
